,Fold,Baseline Error,Ridge Error,KNN Error,RF Error,ANN Error,Logistic Error
60,0,9.794581618655693,9.794844539679623,9.387052965142598,2.4693877551020416,6.703170308527717,16
61,0,0.01680384087791493,0.016799794478119575,0.0,0.5804988662131518,1.5290920995757915,1
62,0,0.01680384087791493,0.016794878605854283,0.0,1.90702947845805,4.456875913349961,1
63,1,18.299382716049383,18.26250365442552,16.47404844290657,20.39542143600416,27.174682310347308,36
64,1,27.854938271604937,25.935480258269056,25.5916955017301,17.316337148803328,36.884104875219094,36
65,1,0.521604938271605,0.6469443365633704,0.31228373702422146,1.5026014568158164,6.770887745233267e-05,0
66,2,13.174211248285323,16.337278793072354,15.123456790123456,17.361111111111114,6.753583943475178,16
67,2,13.174211248285323,11.059604403397524,14.694444444444443,9.0,15.619221919095722,16
68,2,0.13717421124828538,0.8042489056795559,0.7901234567901234,0.027777777777777766,0.29854183342337137,0
69,3,0.00034293552812071637,40.82986193799655,0.0,1.1444023796646838,0.9276418952982226,4
70,3,9.111454046639233,7.786595507321112,4.0,10.803196923261826,12.47695882400025,1
71,3,3.926268861454046,366.0516863652127,9.0,5.247295835586804,18.261995011098634,16
72,0,1.276063100137174,1.2760423702515162,1.0430058850158441,0.0022675736961451087,7.5404423022011,4
73,0,17.053840877914954,17.05374108407706,16.0,12.417233560090702,46.12011708555346,25
74,0,4.535322359396434,4.535598111790778,4.259393390674513,9.580498866213153,2.3728293088881856,9
75,1,10.743827160493826,10.328332608161976,9.537197231833908,18.684703433922994,6.0956318565586685,25
76,1,18.299382716049383,17.022132402962274,16.7136678200692,21.278876170655572,26.162478762130434,25
77,1,0.07716049382716043,0.3507748898754094,0.08650519031141872,2.5668863452422244,7.072020887488989,4
78,2,0.39643347050754446,0.577575330485507,0.25,4.0,0.30100586358054215,1
79,2,6.914951989026064,5.5477543126370765,4.938271604938272,8.027777777777777,6.13486521589499,9
80,2,2.6556927297668036,3.736783975236775,1.6327160493827158,7.111111111111111,2.941298305872863,4
81,3,1.037379972565158,29.427555358082486,0.25,0.003380205516495415,0.22101120116309403,1
82,3,1.037379972565158,269.24297698141817,0.25,0.004341686196742941,0.030845761940327066,1
